chargeMV,capacitorMV,digitalMV
5010,112,0
5010,219,0
5010,317,0
5010,419,0
5010,517,0
5010,615,0
5010,703,0
5010,795,0
5010,883,0
5010,971,0
5010,1054,0
5010,1137,0
5010,1220,0
5010,1298,0
5010,1381,0
5010,1450,0
5010,1528,0
5010,1596,0
5010,1669,0
5010,1738,0
5010,1806,0
5010,1870,0
5010,1938,0
5010,2001,0
5010,2065,0
5010,2124,0
5010,2182,0
5010,2241,0
5010,2299,0
5010,2358,0
5010,2412,0
5010,2465,0
5010,2514,5000
5010,2568,5000
5010,2617,5000
5010,2666,5000
5010,2714,5000
5010,2763,5000
5010,2802,5000
5010,2851,5000
5010,2895,5000
5010,2939,5000
5010,2978,5000
5010,3022,5000
5010,3061,5000
5010,3100,5000
5010,3139,5000
5010,3173,5000
5010,3212,5000
5010,3247,5000
5010,3281,5000
5010,3320,5000
5010,3354,5000
5010,3383,5000
5010,3417,5000
5010,3452,5000
5010,3481,5000
5010,3510,5000
5010,3540,5000
5010,3569,5000
5010,3593,5000
5010,3623,5000
5010,3652,5000
5010,3676,5000
5010,3706,5000
5010,3730,5000
5010,3754,5000
5010,3779,5000
5010,3803,5000
5010,3823,5000
5010,3847,5000
5010,3872,5000
5010,3891,5000
5010,3911,5000
5010,3930,5000
5010,3950,5000
5010,3974,5000
5010,3989,5000
5010,4008,5000
5010,4028,5000
5010,4047,5000
5010,4062,5000
5010,4082,5000
5010,4096,5000
5010,4116,5000
5010,4130,5000
5010,4145,5000
5010,4160,5000
5010,4174,5000
5010,4189,5000
5010,4204,5000
5010,4218,5000
5010,4233,5000
5010,4243,5000
5010,4257,5000
5010,4272,5000
5010,4282,5000
5010,4296,5000
5010,4306,5000
5010,4316,5000
5010,4331,5000
5010,4340,5000
5010,4350,5000
5010,4360,5000
5010,4370,5000
5010,4379,5000
5010,4389,5000
5010,4399,5000
5010,4409,5000
5010,4418,5000
5010,4428,5000
5010,4438,5000
5010,4443,5000
5010,4453,5000
5010,4462,5000
5010,4472,5000
5010,4477,5000
5010,4482,5000
5010,4492,5000
5010,4497,5000
5010,4506,5000
5010,4511,5000
5010,4516,5000
5010,4526,5000
5010,4531,5000
5010,4541,5000
5010,4545,5000
5010,4550,5000
5010,4555,5000
5010,4560,5000
5010,4565,5000
5010,4570,5000
5010,4575,5000
5010,4584,5000
5010,4584,5000
5010,4589,5000
5010,4594,5000
5010,4599,5000
5010,4604,5000
5010,4609,5000
5010,4614,5000
5010,4619,5000
5010,4624,5000
5010,4628,5000
5010,4628,5000
5010,4633,5000
5010,4638,5000
5010,4643,5000
5010,4643,5000
5010,4648,5000
5010,4648,5000
5010,4653,5000
5010,4658,5000
5010,4658,5000
5010,4663,5000
5010,4667,5000
5010,4667,5000
5010,4672,5000
5010,4677,5000
5010,4677,5000
5010,4677,5000
5010,4682,5000
5010,4687,5000
5010,4687,5000
5010,4692,5000
5010,4692,5000
5010,4692,5000
5010,4697,5000
5010,4697,5000
5010,4702,5000
5010,4702,5000
5010,4707,5000
5010,4707,5000
5010,4707,5000
5010,4711,5000
5010,4711,5000
5010,4716,5000
5010,4716,5000
5010,4716,5000
5010,4721,5000
5010,4721,5000
5010,4721,5000
5010,4721,5000
5010,4726,5000
5010,4726,5000
5010,4726,5000
5010,4731,5000
5010,4731,5000
5010,4731,5000
5010,4731,5000
5010,4736,5000
5010,4736,5000
5010,4736,5000
5010,4741,5000
5010,4741,5000
5010,4741,5000
5010,4741,5000
5010,4746,5000
5010,4746,5000
5010,4746,5000
5010,4746,5000
5010,4746,5000
5010,4746,5000
5010,4750,5000
5010,4750,5000
5010,4750,5000
5010,4750,5000
5010,4750,5000
5010,4750,5000
5010,4755,5000
5010,4755,5000
5010,4755,5000
5010,4755,5000
5010,4755,5000
5010,4760,5000
5010,4760,5000
5010,4760,5000
5010,4760,5000
5010,4760,5000
5010,4760,5000
5010,4765,5000
5010,4760,5000
5010,4765,5000
5010,4765,5000
5010,4765,5000
5010,4765,5000
5010,4765,5000
5010,4765,5000
5010,4765,5000
5010,4765,5000
5010,4770,5000
5010,4770,5000
5010,4770,5000
5010,4770,5000
5010,4775,5000
5010,4775,5000
5010,4775,5000
5010,4770,5000
5010,4770,5000
5010,4775,5000
5010,4775,5000
5010,4775,5000
5010,4775,5000
5010,4775,5000
5010,4775,5000
5010,4775,5000
5010,4775,5000
5010,4775,5000
5010,4780,5000
5010,4775,5000
5010,4775,5000
5010,4775,5000
5010,4780,5000
5010,4780,5000
5010,4780,5000
5010,4780,5000
5010,4780,5000
5010,4780,5000
5010,4780,5000
5010,4780,5000
5010,4785,5000
5010,4780,5000
5010,4785,5000
5010,4785,5000
5010,4785,5000
5010,4785,5000
5010,4785,5000
5010,4785,5000
5010,4785,5000
5010,4785,5000
5010,4785,5000
5010,4790,5000
5010,4790,5000
5010,4785,5000
5010,4785,5000
5010,4785,5000
5010,4785,5000
5010,4790,5000
5010,4790,5000
5010,4790,5000
5010,4790,5000
5010,4790,5000
5010,4790,5000
5010,4790,5000
5010,4790,5000
5010,4790,5000
5010,4790,5000
5010,4790,5000
5010,4790,5000
5010,4794,5000
5010,4790,5000
5010,4790,5000
5010,4790,5000
5010,4794,5000
5010,4794,5000
5010,4794,5000
5010,4794,5000
5010,4790,5000
5010,4794,5000
5010,4794,5000
